de
que
a
e
o
Harry
para
um
não
se
uma
com
do
em
os
da
disse
Rony
no
na
ele
é
as
por
você
mais
O
mas
estava
à
como
Não
ao
muito
E
quando
Hagrid
dos
era
A
coisa
foi
Hermione
sua
está
me
seu
eu
Mas
das
Ele
olhos
bem
Dumbledore
vez
Você
ela
perguntou
ter
isso
=
cabeça
até
eles
ser
Snape
porta
tinha
vai
Weasley
É
Potter
fazer
dois
pelo
sem
voz
Lockhart
Os
Eu
lhe
dizer
Que
parecia
só
dele
Sr.
tão
Draco
aqui
lado
nada
pela
agora
alguma
já
nos
seus
sala
ver
tempo
estavam
mesmo
fora
Grifinória
nem
sobre
ainda
varinha
todos
casa
Hogwarts
grande
Malfoy
nunca
Duda
porque
escola
depois
tinham
havia
tem
senhor
outra
também
vocês
viu
rosto
Profa
Ah
enquanto
antes
Então
volta
meu
chão
Mione
Válter
quase
mão
deu
cima
alunos
onde
alto
lá
Dobby
Neville
respondeu
melhor
quem
sabe
Dursley
todo
Por
tudo
ou
Fred
cara
ficou
fez
dia
frente
depressa
hora
noite
Era
Riddle
Um
Sonserina
nas
alguém
carro
tio
dentro
Jorge
Gina
estar
então
falar
outro
sempre
olhar
pessoas
três
Madame
Filch
Eles
tivesse
Quirrell
Prof
pode
ano
Se
aos
minha
Percy
vamos
Quando
lugar
Vamos
meio
ninguém
exclamou
saiu
pouco
ia
tentando
direção
gritou
mesa
cada
ar
às
começou
falou
dar
Sra.
fazendo
vou
suas
ficar
corredor
repente
quadribol
podia
ali
primeiro
vassoura
As
garoto
num
sei
boca
livros
toda
capa
mundo
Minerva
sido
olhou
sabia
atrás
deles
coisas
vezes
aula
Ela
cabelos
poderia
trouxas
outros
ir
embora
mãos
Como
certeza
bruxo
entre
Petúnia
cama
saber
Uma
gente
correndo
foram
menos
claro
são
pessoa
nome
eram
Câmara
passar
teve
fosse
ouviu
professor
vão
trás
seguinte
castelo
diário
nós
estão
primeira
assim
entrar
pai
Foi
livro
Acho
parede
aí
caminho
anos
mim
pelos
qualquer
tia
abriu
olhando
contra
Vocês
Está
vida
teria
hoje
bom
quanto
deve
vestes
numa
duas
janela
bruxos
queria
realmente
McGonagall
Em
mal
estou
nariz
força
voltar
carta
família
há
Murta
time
chapéu
pedra
Estava
isto
instante
segundo
momento
sorriso
talvez
sair
tanto
novo
bateu
quer
manhã
acha
menino
minutos
devia
tentou
uns
braço
tenha
parou
conseguiu
pensar
Goyle
pontos
cobra
sentiu
mãe
Agora
aquele
espelho
seguida
alta
demais
Voldemort
logo
quarto
finalmente
deixou
luz
passou
rua
pés
algum
contar
aquela
este
Depois
Pirraça
garotos
No
enorme
professora
entrou
murmurou
andar
coruja
Olívio
sangue
acho
Só
Muito
estivesse
deixar
Wood
favor
Rúbeo
tenho
baixo
verdade
apenas
pé
encontrar
Bom
caiu
tarde
ideia
nenhum
Crabbe
atenção
diante
silêncio
dando
Na
continuou
dela
ouvir
durante
fogo
floresta
professores
mesma
escada
banheiro
disso
posso
Havia
Slytherin
Estou
Com
Quase
chegar
quero
Isto
pelas
Pedra
Nick
corpo
fim
aconteceu
teto
Vou
Já
pudesse
poder
escuro
difícil
velho
quatro
Sem
trem
falando
horas
cinco
costas
maior
parte
fazia
pena
levantou
seria
essa
De
pernas
razão
jogo
sou
amigos
feito
armário
temos
voltou
dizendo
Bem
pareceu
modo
todas
continuava
muita
pensou
virou
Canino
Granger
óculos
desde
Tinha
chegou
Secreta
balaço
dragão
cair
Quem
Todos
cheio
entrada
pareciam
tornou
alguns
vira
Cabeça
será
última
conseguia
puxou
jeito
ponta
Nunca
perto
parar
tirou
Colin
desapareceu
Pomfrey
parecendo
ergueu
comprar
trasgo
comunal
magia
saíram
ouviram
